Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
D35,1N4148,D_SOD-123,207.334707,-162.820347,220.0,bottom
D36,1N4148,D_SOD-123,209.878339,-58.337485,250.0,bottom
D37,1N4148,D_SOD-123,216.39382,-76.238629,250.0,bottom
D38,1N4148,D_SOD-123,222.909297,-94.139764,250.0,bottom
D39,1N4148,D_SOD-123,229.424796,-112.040926,250.0,bottom
D40,1N4148,D_SOD-123,223.360418,-145.155902,235.0,bottom
D41,1N4148,D_SOD-123,226.422074,-48.092577,250.0,bottom
D42,1N4148,D_SOD-123,232.937576,-65.993725,250.0,bottom
D43,1N4148,D_SOD-123,239.453042,-83.894873,250.0,bottom
D44,1N4148,D_SOD-123,245.96853,-101.795997,250.0,bottom
D45,1N4148,D_SOD-123,243.536187,-132.245513,250.0,bottom
D46,1N4148,D_SOD-123,245.680623,-45.306515,250.0,bottom
D47,1N4148,D_SOD-123,252.19612,-63.207662,250.0,bottom
D48,1N4148,D_SOD-123,258.711585,-81.108798,250.0,bottom
D49,1N4148,D_SOD-123,265.22707,-99.009946,250.0,bottom
D50,1N4148,D_SOD-123,271.742535,-116.911085,250.0,bottom
D51,1N4148,D_SOD-123,265.210635,-43.2663,250.0,bottom
D52,1N4148,D_SOD-123,271.726125,-61.167451,250.0,bottom
D53,1N4148,D_SOD-123,278.2416,-79.068598,250.0,bottom
D54,1N4148,D_SOD-123,284.757091,-96.969739,250.0,bottom
D55,1N4148,D_SOD-123,291.272577,-114.870886,250.0,bottom
D56,1N4148,D_SOD-123,283.926203,-38.988467,250.0,bottom
D57,1N4148,D_SOD-123,290.441681,-56.889608,250.0,bottom
D58,1N4148,D_SOD-123,296.957181,-74.790767,250.0,bottom
D59,1N4148,D_SOD-123,303.472647,-92.691899,250.0,bottom
D60,1N4148,D_SOD-123,309.988144,-110.593049,250.0,bottom
D61,1N4148,D_SOD-123,148.482848,-165.19326,285.0,bottom
D62,1N4148,D_SOD-123,167.750013,-169.909995,270.0,bottom
D63,1N4148,D_SOD-123,187.579389,-169.463775,255.0,bottom
D64,SMF5.0A,D_SOD-123,170.499791,-29.900004,270.0,bottom
D65,B5819W SL,D_SOD-123,172.949997,-29.899998,90.0,bottom
D66,B5819W SL,D_SOD-123,165.5,-29.799998,270.0,bottom
D67,SK6812MINI-E,YS-SK6812MINI-E,186.099996,-113.506293,210.0,bottom
D68,SK6812MINI-E,YS-SK6812MINI-E,196.200009,-130.999989,270.0,bottom
