Comment,Designator,Footprint,LCSC
VIK Keyboard Expansion,J3,VIK_Keyboard_Horizontal,C88360
TPD2EUSB30A,U2,Texas_DRT-3,C94934
47u,"C16,C17,C18",C_1206_3216Metric,C96123
10u,C9,C_0603_1608Metric,C96446
SWD,J2,PinHeader_SWD_2x03_P2.54mm_Vertical,
TestPoint_Small,TP8,TestPoint_Pad_D1.5mm,
VIK_GP1,TP12,TestPoint_Pad_D1.5mm,
SDA,TP1,TestPoint_Pad_D1.5mm,
VIK_GP2,TP9,TestPoint_Pad_D1.5mm,
SCL,TP2,TestPoint_Pad_D1.5mm,
VIK_GP1,TP11,TestPoint_Pad_D1.5mm,
TestPoint_Small,TP7,TestPoint_Pad_D1.5mm,
VIK_GP1,TP10,TestPoint_Pad_D1.5mm,
SCK,TP5,TestPoint_Pad_D1.5mm,
VIK_CS,TP6,TestPoint_Pad_D1.5mm,
MOSI,TP3,TestPoint_Pad_D1.5mm,
MISO,TP4,TestPoint_Pad_D1.5mm,
CPG151101S11,SW25,SW_MX_1U_Hotswap,
CPG151101S11,SW30,SW_MX_1U_Hotswap,
CPG151101S11,SW1,SW_MX_1U_Hotswap,
CPG151101S11,SW24,SW_MX_1U_Hotswap,
CPG151101S11,SW29,SW_MX_1U_Hotswap,
CPG151101S11,SW14,SW_MX_1U_Hotswap,
CPG151101S11,SW19,SW_MX_1U_Hotswap,
CPG151101S11,SW5,SW_MX_1U_Hotswap,
CPG151101S11,SW22,SW_MX_1U_Hotswap,
CPG151101S11,SW27,SW_MX_1U_Hotswap,
CPG151101S11,SW3,SW_MX_1U_Hotswap,
CPG151101S11,SW8,SW_MX_1U_Hotswap,
CPG151101S11,SW13,SW_MX_1U_Hotswap,
CPG151101S11,SW23,SW_MX_1U_Hotswap,
CPG151101S11,SW18,SW_MX_1U_Hotswap,
CPG151101S11,SW28,SW_MX_1U_Hotswap,
CPG151101S11,SW4,SW_MX_1U_Hotswap,
CPG151101S11,SW9,SW_MX_1U_Hotswap,
CPG151101S11,SW10,SW_MX_1U_Hotswap,
CPG151101S11,SW15,SW_MX_1U_Hotswap,
CPG151101S11,SW20,SW_MX_1U_Hotswap,
CPG151101S11,SW11,SW_MX_1U_Hotswap,
CPG151101S11,SW2,SW_MX_1U_Hotswap,
CPG151101S11,SW12,SW_MX_1U_Hotswap,
CPG151101S11,SW21,SW_MX_1U_Hotswap,
CPG151101S11,SW17,SW_MX_1U_Hotswap,
CPG151101S11,SW16,SW_MX_1U_Hotswap,
CPG151101S11,SW6,SW_MX_1U_Hotswap,
CPG151101S11,SW7,SW_MX_1U_Hotswap,
CPG151101S11,SW26,SW_MX_1U_Hotswap,
CPG151101S11,SW56,SW_MX_1U_Hotswap,
CPG151101S11,SW62,SW_MX_1U_Hotswap,
CPG151101S11,SW50,SW_MX_1U_Hotswap,
CPG151101S11,SW44,SW_MX_1U_Hotswap,
CPG151101S11,SW42,SW_MX_1U_Hotswap,
CPG151101S11,SW63,SW_MX_1U_Hotswap,
CPG151101S11,SW61,SW_MX_1U_Hotswap,
CPG151101S11,SW58,SW_MX_1U_Hotswap,
CPG151101S11,SW34,SW_MX_1U_Hotswap,
CPG151101S11,SW53,SW_MX_1U_Hotswap,
CPG151101S11,SW45,SW_MX_1U_Hotswap,
CPG151101S11,SW33,SW_MX_1U_Hotswap,
CPG151101S11,SW48,SW_MX_1U_Hotswap,
CPG151101S11,SW32,SW_MX_1U_Hotswap,
CPG151101S11,SW37,SW_MX_1U_Hotswap,
CPG151101S11,SW49,SW_MX_1U_Hotswap,
CPG151101S11,SW46,SW_MX_1U_Hotswap,
CPG151101S11,SW55,SW_MX_1U_Hotswap,
CPG151101S11,SW41,SW_MX_1U_Hotswap,
CPG151101S11,SW36,SW_MX_1U_Hotswap,
CPG151101S11,SW35,SW_MX_1U_Hotswap,
CPG151101S11,SW52,SW_MX_1U_Hotswap,
CPG151101S11,SW39,SW_MX_1U_Hotswap,
CPG151101S11,SW40,SW_MX_1U_Hotswap,
CPG151101S11,SW43,SW_MX_1U_Hotswap,
CPG151101S11,SW38,SW_MX_1U_Hotswap,
CPG151101S11,SW60,SW_MX_1U_Hotswap,
CPG151101S11,SW59,SW_MX_1U_Hotswap,
CPG151101S11,SW47,SW_MX_1U_Hotswap,
CPG151101S11,SW31,SW_MX_1U_Hotswap,
